Player,Team,POS,R/L,G,GS,IP,W,L,SV,HLD,ERA,SO,BB,H,ER,LD%
Nick Martinez,CIN,SP,R,35.6,19.4,112.3,5.7,6.6,0,2,4.78,102.1,45.1,117.5,55.1,20.3
Dakota Hudson,COL,SP,R,22.7,22.7,109,4.3,8.3,0,0,5.74,59.4,44.2,135.7,60.4,20.9
John Means,BAL,SP,L,19.8,19.8,108.9,6.6,5.9,0,0,4.5,86.2,26.4,111.1,54.5,20.6
Steven Matz,STL,SP,L,32.4,16.2,108.5,6.8,5,0,2,3.76,105.3,31.2,102,46.8,19.9
Ryne Nelson,ARI,SP,R,32.4,16.2,106.9,5.8,6.2,0,2,4.9,79.5,35.2,114.2,57.9,20.2
Tristan Beck,SF,SP,R,32.4,16.2,105.3,5.4,6.3,0,4,4.65,84.7,35.3,109.4,55.2,20.1
Casey Mize,DET,SP,R,20.6,20.6,105.1,5.4,6.6,0,0,4.61,85.1,30.8,109.6,54.5,20.4
Michael Soroka,CHW,SP,R,32.4,16.2,103.7,7.6,8.4,0,0,4.22,90.8,33.6,106.5,48.4,20.3
Randy Vasquez,SD,SP,R,32.4,16.2,103.7,7.8,8.4,0,0,4.37,88.7,41.5,105.8,51.8,20.1
Luis L. Ortiz,PIT,SP,R,32.4,16.2,103.7,5.1,6.4,0,2,4.77,78.7,44.9,109.4,55.3,20
Matt Waldron,SD,SP,R,19.4,19.4,102.8,5.7,6.3,0,0,4.84,76.1,34,110.4,56.9,20.7
Joe Boyle,OAK,SP,R,32.4,16.2,102.1,5.1,6.3,0,2,4.34,112,65.3,85.7,50.7,19.4
James Paxton,LAD,SP,L,19.4,19.4,100.9,6.8,4.4,0,0,4.03,106.2,33.9,93.3,45.6,20
Alek Manoah,TOR,SP,R,32.4,16.2,100.4,8.1,8.1,0,0,4.58,94.4,39.7,99.3,51,20.2
Joe Ross,MIL,SP,R,32.4,16.2,97.2,5.2,5.6,0,2,4.47,86.8,31.5,99.1,47.8,20.4
Pedro Avila,SD,SP,R,32.4,16.2,97.2,4.6,6,0,2,4.43,84.1,42.5,98,49.2,20.2
Jackson Rutledge,WSH,SP,R,32.4,16.2,97.2,4.3,6.8,0,2,5.39,70.3,40,105.8,56.5,20.1
Javier Assad,CHC,SP,R,42.1,9.7,94.5,5,5.2,0,7,4.5,78.7,35.8,95.4,46.8,20.3
Trevor Williams,WSH,SP,R,32.4,16.2,94,4,6.7,0,2,5.29,69.5,31,106.9,53.7,20.9
Ryan Feltner,COL,SP,R,19.4,19.4,93.1,3.8,6.7,0,0,5.29,77.3,39.2,98.2,47.6,20.1
Tommy Henry,ARI,SP,L,29.2,13,92.6,5.3,5.1,0,2,4.73,73.2,36.9,95.9,48.3,20.6
Touki Toussaint,CHW,SP,R,29.2,13,88,4,5.7,0,2,4.64,84.9,48.5,83.1,45.1,20.1
Kodai Senga,NYM,SP,R,15.7,15.7,87.9,5.8,4,0,0,3.71,102.2,36.4,74.6,37.7,19.7
Kyle Bradish,BAL,SP,R,15.7,15.7,87.9,5.6,4.2,0,0,3.86,85.4,28,81.2,37.8,20
Mike Clevinger,FA,SP,R,29.2,13,87.7,7.4,7.6,0,0,4.68,77.3,27.3,87.9,45.6,20.1
Peter Lambert,COL,SP,R,26.4,13.2,87.1,3.9,5.8,0,1,5.42,67.2,32.7,95.7,45.5,20.3
Tylor Megill,NYM,SP,R,26.8,14.6,86.7,4.9,4.8,0,1,4.44,76.9,30.3,89.3,44.6,20.1
Jose Urquidy,HOU,SP,R,40.5,8.1,86.7,4.7,4.4,0,3,4.64,75.7,22.9,87.2,44.7,20.1
Roansy Contreras,PIT,SP,R,47,6.5,84.6,4.2,4.6,0,4,4.33,79.1,31.8,80.3,41,19.8
Chris Flexen,CHW,SP,R,29.2,13,84.4,3.8,5.7,0,2,5.02,62.6,28.7,93,46.7,20.6
Yariel Rodriguez,TOR,SP,R,29.2,13,84.4,4.7,4.7,0,2,4.59,83,37.5,82.7,43,21.1
DL Hall,MIL,SP,L,29.2,13,82.8,4.7,4.1,0,3,3.64,100.5,37.5,69.4,33.2,19.6
Brandon Williamson,CIN,SP,L,29.2,13,82.5,4.4,4.9,0,2,5.14,71.6,34.5,86.5,43.6,20.3
Ryan Yarbrough,LAD,SP,L,38.9,6.5,81.8,4.7,3.9,0,3,4.35,66,18.1,88,39.8,20.9
Jhony Brito,SD,SP,R,40.5,8.1,81.8,3.7,4.7,0,3,4.18,68,26.5,81.4,39.1,19.7
Jordan Hicks,SF,SP,R,29.2,13,81.2,4.5,4.1,0,3,3.68,88.2,39.7,71,33.7,19.3
Zach Plesac,LAA,SP,R,29.2,13,81.2,4.2,5,0,2,5.07,56.3,25.3,93.4,44.8,20.6
Carlos Carrasco,CLE,SP,R,16.2,16.2,81,4.2,5,0,0,4.69,66.3,27.2,88.3,41.9,20.5
Max Meyer,MIA,SP,R,16.2,16.2,81,4.2,4.9,0,0,4.33,72.2,29.9,80.1,39.4,20.1
Zack Greinke,FA,SP,R,16.2,16.2,79.4,4.3,4.7,0,0,4.62,55.3,16.2,89.8,40.8,21
Daniel Lynch IV,KC,SP,L,14.3,14.3,78.7,4.5,4.6,0,0,4.76,61.1,27.3,80.6,41,20.4
Domingo German,FA,SP,R,25.9,9.7,77.7,7,6.3,0,0,4.29,72.9,23.5,76.2,37,20.2
Cole Irvin,BAL,SP,L,34,9.7,77.7,4.2,4.2,0,2,4.3,60.3,17.7,81.2,37.2,20.4
Tyler Wells,BAL,SP,R,34,9.7,76.7,4.3,4.1,0,5,4.48,70.9,22.7,70.2,38.2,20.2
Aaron Ashby,MIL,SP,L,34,9.7,75.2,4.2,3.6,0,6,3.58,83.9,33.3,66.9,29.6,19.7
Alex Cobb,SF,SP,R,13.9,13.9,75.1,4.6,3.7,0,0,3.69,67.3,20.8,74.8,31.3,20.2
Max Scherzer,TEX,SP,R,13.1,13.1,74.7,4.9,3.5,0,0,3.93,82.8,19.5,64.5,32.1,20
Austin Voth,SEA,RP,R,45.4,4.9,73.1,3.7,4,0,6,4.44,69,25.3,73.2,37.3,20.1
Jose Suarez,LAA,SP,L,29.2,13,72.4,2.9,4.7,0,5,4.6,64,28.2,73.6,36.2,20.3
Zack Thompson,STL,SP,L,32.4,8.1,72.1,4.1,3.6,0,2,4.1,67.9,33,69,33.9,20.1
Osvaldo Bido,OAK,SP,R,45.4,4.9,72.1,3.2,4.3,0,4,4.41,65,29.7,69.3,36.5,19.9
Joan Adon,WSH,SP,R,37.3,4.9,71.6,3.3,4.1,0,3,4.49,62.8,28.7,72.5,34.7,19.9
Nick Nastrini,CHW,SP,R,14.3,14.3,71.5,3.2,5,0,0,4.97,64.6,32.5,73,39.2,21.1
Quinn Priester,PIT,SP,R,14.3,14.3,71.5,3.8,4.3,0,0,4.48,55,30.3,74.2,35.8,20.4
David Peterson,NYM,SP,L,23.4,11.7,71.4,4.1,3.4,0,3,3.57,75.2,28.4,68.9,29.5,20.3
Shawn Armstrong,TB,RP,R,64.8,0,71.3,3.6,3.4,0,16,3.82,73.6,21.9,64.5,30.8,19.8
Chris Stratton,KC,RP,R,64.8,0,71.3,3.5,3.5,0,12,4.27,65.6,27,69.4,33.3,20.1
Matt Strahm,PHI,RP,L,64.8,0,71.3,3.9,3.1,0,10,3.55,83.1,21.5,58.6,27.6,19.8
Joe Mantiply,ARI,RP,L,64.8,0,71.3,3.6,3.3,0,6,3.92,58.8,21.8,73.2,30.8,20.5
Fernando Cruz,CIN,RP,R,64.8,0,71.3,3.7,3.2,0,15,4.03,89,30.5,59.8,29.5,19.7
Scott Barlow,CLE,RP,R,64.8,0,71.3,3.6,3.4,2,12,3.88,77.9,27.5,64.3,30.5,20
Jordan Weems,WSH,RP,R,64.8,0,71.3,3.3,3.7,0,14,4.5,71,31.2,63.8,34.6,19.9
Josh Sborz,TEX,RP,R,64.8,0,71.3,3.8,3.2,1,16,3.68,82.9,28.5,60.5,28.7,19.6
Miguel Diaz,DET,RP,R,64.8,0,71.3,3.4,3.6,0,19,4.11,66.6,29.2,67,33,19.8
Huascar Brazoban,MIA,RP,R,64.8,0,71.3,3.5,3.5,0,19,3.94,75.7,33.2,63.8,31.5,19.7
Ian Hamilton,NYY,RP,R,64.8,0,71.3,3.9,3.1,0,14,3.61,79.8,31.8,62.8,28.1,19.7
Tyler Rogers,SF,RP,R,64.8,0,71.3,3.3,3.6,0,19,4.29,51.8,21.7,77,34.5,21.1
Jake Bird,COL,RP,R,64.8,0,71.3,3.6,3.4,0,19,4.49,59.7,27.1,75,30.9,19.9
Brock Burke,TEX,RP,L,64.8,0,71.3,3.7,3.3,0,19,3.89,71.8,22.6,65.6,30.4,19.8
Trevor Megill,MIL,RP,R,64.8,0,71.3,3.8,3.2,0,14,3.49,90.5,28,58.7,27.4,19.1
